Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
Chinese Small Dog (Shaanxi),Chinese Xi Dog (Shaanxi),"Traditional Chinese hunting dogs, slender and slender, run extremely fast, and are ancient royal hunting dogs.",China,12-15 years,18-25Kg,60-68cm,"Agile, loyal, docile","1. Ensure more than 1 hour of running exercise every day; 2-Pay attention to keeping warm in winter, as thin skin is not cold-resistant. 3. Regularly comb short coats and clean skin","hip dysplasia, patellar dislocation, ocular inflammation",hound,large,3,2,5,Yes
Russian Wolfhound,Borzoi,"Russian large hunting dog, with long and soft fur, elegant temperament, good at hunting wild wolves, independent and steady personality.",Russia,10-12 years,34-48Kg,68-85cm,"Elegance, independence, and meekness",1. 2 hours of free running per day; 2-Brush the long hair three times a week to prevent knotting. 3 Avoid eating immediately after intense exercise,"hip dysplasia, gastric torsion, hypothyroidism",hound,large,2,4,5,Yes
Brussels Griffin Dog,Brussels Griffon,"Belgian small toy dog, with a unique facial whisker and a playful appearance, is an excellent companion dog.",Belgium,12-15 years,3-6Kg,18-22cm,"Smart, clingy, lively",1. 30 minutes of light exercise per day is sufficient; 2-Regularly clean facial wrinkles to prevent infection. 3 Puppies should pay attention to preventing low blood sugar and eat small meals frequently,"Patellar dislocation, tracheal collapse, eye disease",toy,small,4,2,2,Yes
Belgian Griffin Dog,Belgian Griffon,"The Brussels Griffin dog is a close relative, with a harder coat and a lively and agile personality, suitable for urban apartment breeding.",Belgium,12-15 years,3-6Kg,18-22cm,"Smart, loyal, lively",1. Avoid high-altitude jumps and protect joints; 2-Brush the hard coat twice a week. 3 Pay attention to social training and avoid being timid and sensitive,"Patellar dislocation, periodontal disease, skin allergies",toy,small,4,2,2,Yes
Habana Dog,Havanese,"Cuba small toy dog with soft and fluffy fur, and a clingy personality, is a Cuba national dog.",Cuba,14-16 years,3-7Kg,20-28cm,"Docile, clingy, cheerful",1. 30 minutes of daily interactive exercise; 2-Brush long hair three times a week to prevent tangling. 3 Regularly clean the ear canal to prevent infection,"Patellar dislocation, cataracts, skin allergies",toy,small,5,3,2,Yes
The Enrique Bologna Dog,Bolognese,"Italian ancient toy dog, with pure white and fluffy fur, quiet and gentle personality, no body odor, suitable for family breeding.",Italy,12-14 years,3-6Kg,25-30cm,"quiet, loyal, docile","1. 20 to 30 minutes of light exercise per day; 2-Brush the coat three times a week to keep it white. 3. Eat light, prevent tear stains","Patellar dislocation, dacryocystitis, joint dysplasia",toy,small,4,2,1,Yes
Maltese Dog,Maltese,"The Mediterranean small toy dog has a snow-white and silky fur, and a gentle and elegant personality. It is a classic companion dog.",Malta,12-15 years,2-4Kg,20-25cm,"Graceful, docile, clingy",1. 30 minutes of indoor interaction every day; 2-Wipe the eyes daily to prevent tear stains. 3 Regularly trim long hair for easy care,"Patellar dislocation, tracheal collapse, hypoglycemia",toy,small,4,1,1,Yes
Lasa Dog,Lhasa Apso,"Xizang is an ancient breed of dog with thick and long fur, independent and alert personality, and is a traditional temple guard dog.",China Xizang,12-15 years,6-8Kg,25-28cm,"independence, vigilance, loyalty",1. 30 minutes of daily walking exercise; 2-Brush long hair four times a week to prevent knotting. 3 Pay attention to obedience training and correct stubbornness,"Poor hip development, eye disease, kidney problems",NON-sporting,small,3,5,2,Yes
Shishi Dog,Shih Tzu,"Traditional Chinese toy dog, originating from Xizang, is a court companion dog.",China,12-14 years,4-7Kg,23-27cm,"Docile, family, lively",1. 30 minutes of light exercise per day; 2-Daily grooming to prevent hair from tangling. 3 Clean the face regularly to prevent tear stains,"Patellar dislocation, dacryocystitis, kidney disease",toy,small,3,5,2,Yes
Jingba Dog,Pekingese,"The ancient Chinese court dog is small in size, with a flat face and a proud and loyal personality. It is a royal exclusive breed.",China,12-15 years,3-6Kg,15-23cm,"proud, loyal, independent",1. Avoid vigorous exercise to prevent heatstroke and hypoxia; 2-Regularly clean facial wrinkles to prevent infection. 3 Control weight and reduce joint pressure,"Short nose syndrome, patellar dislocation, heart disease",toy,small,2,4,1,No
